timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613306909035,6,getBooks request,200,,External app 1-15,text,true,,126,118,30,30,http://localhost:8080/books/,5,0,0
1613306909040,6,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,6,0,0
1613306909042,11,getBooks request,200,,External app 1-15,text,true,,126,118,30,30,http://localhost:8080/books/,10,0,0
1613306909048,6,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,5,0,0
1613306909056,5,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,4,0,0
1613306909054,11,getBooks request,200,,External app 1-15,text,true,,126,118,30,30,http://localhost:8080/books/,11,0,0
1613306909062,8,getBooks request,200,,External app 1-23,text,true,,126,118,30,30,http://localhost:8080/books/,7,0,0
1613306909067,10,getBooks request,200,,External app 1-15,text,true,,126,118,29,29,http://localhost:8080/books/,9,0,0
1613306909078,6,getBooks request,200,,External app 1-15,text,true,,126,118,29,29,http://localhost:8080/books/,6,0,0
1613306909086,5,getBooks request,200,,External app 1-15,text,true,,126,118,29,29,http://localhost:8080/books/,5,0,0
1613306908766,330,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,327,0,0
1613306908761,342,getBooks request,200,,External app 1-16,text,true,,126,118,29,29,http://localhost:8080/books/,336,0,0
1613306909092,23,getBooks request,200,,External app 1-15,text,true,,126,118,29,29,http://localhost:8080/books/,19,0,0
1613306909098,23,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,22,0,0
1613306909123,12,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,11,0,0
1613306909139,22,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,21,0,0
1613306909163,7,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,6,0,0
1613306908752,419,getBooks request,200,,External app 1-24,text,true,,126,118,29,29,http://localhost:8080/books/,415,0,0
1613306909171,8,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,7,0,0
1613306909180,5,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,4,0,0
1613306909186,10,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,9,0,0
1613306909172,30,getBooks request,200,,External app 1-24,text,true,,126,118,29,29,http://localhost:8080/books/,14,0,0
1613306909197,10,getBooks request,200,,External app 1-19,text,true,,126,118,29,29,http://localhost:8080/books/,8,0,0
1613306909203,13,getBooks request,200,,External app 1-24,text,true,,126,118,28,28,http://localhost:8080/books/,12,0,0
1613306909217,6,getBooks request,200,,External app 1-24,text,true,,126,118,28,28,http://localhost:8080/books/,5,0,0
